Epoch,Loss,Accuracy,Precision,Recall,F1-Score
1,5.00234313,3.04097311,2.02355734,3.04097311,1.93697892
2,4.51803976,7.42537612,5.79697804,7.42537612,5.41272933
3,4.21553023,10.9375,8.63517563,10.9375,8.61626991
4,3.99238643,14.15452945,11.68853061,14.15452945,11.77299784
5,3.79919161,17.18149808,14.76336665,17.18149808,14.85442095
6,3.63251593,19.67629641,17.30274268,19.67629641,17.43721844
7,3.4761866,22.42817702,20.17870903,22.42817702,20.29065174
8,3.34202567,24.54485435,22.28629266,24.54485435,22.49436807
9,3.21783914,26.71554898,24.54970565,26.71554898,24.77085504
10,3.10589134,28.66117157,26.56336417,28.66117157,26.84093058
11,3.0028573,30.56478073,28.53459772,30.56478073,28.82839401
12,2.91084635,32.30833867,30.27465789,32.30833867,30.62568055
13,2.82294662,33.81582106,31.90643396,33.81582106,32.23355767
14,2.73826058,35.56638124,33.68887874,35.56638124,34.07050529
15,2.6631284,36.93381882,35.23981854,36.93381882,35.52966115
16,2.5830698,38.44930378,36.76427537,38.44930378,37.10605441
17,2.51625644,39.86975832,38.25455766,39.86975832,38.58960598
18,2.44499019,41.25820262,39.74022403,41.25820262,40.06406446
19,2.384068,42.44058099,40.97680148,42.44058099,41.27627543
20,2.31880366,43.61595711,42.26721398,43.61595711,42.55338464
21,2.25602555,44.85535371,43.47799367,44.85535371,43.79564353
22,2.19976566,46.21078745,44.92606218,46.21078745,45.23331041
23,2.14114234,47.30113636,46.06540034,47.30113636,46.35898388
24,2.08566991,48.59955186,47.4429984,48.59955186,47.71916572
25,2.03170798,49.74391805,48.62040923,49.74391805,48.91119986
26,1.98091823,50.94330186,49.86045606,50.94330186,50.12631086
27,1.92688823,51.91261204,50.86555395,51.91261204,51.13768828
28,1.86970422,53.13700384,52.17844082,53.13700384,52.41509797
29,1.82429557,53.97127081,53.00702694,53.97127081,53.26855998
30,1.77212582,55.21266805,54.27099173,55.21266805,54.52191727
31,1.72672971,56.20698624,55.33926253,56.20698624,55.58308681
32,1.67370029,57.27932939,56.44866715,57.27932939,56.67065339
33,1.62902304,58.44370198,57.68514478,58.44370198,57.88777757
34,1.5776665,59.65608995,58.93362821,59.65608995,59.13116068
35,1.53112117,60.83846831,60.14750632,60.83846831,60.34277536
36,1.49269512,61.49267766,60.84798216,61.49267766,61.02308546
37,1.4420941,62.8731194,62.26082512,62.8731194,62.42983705
38,1.4001168,63.6993838,63.12672973,63.6993838,63.2841338
39,1.34946428,64.97479193,64.44457723,64.97479193,64.58799478
40,1.31531928,65.76704545,65.26695683,65.76704545,65.39940286
41,1.27779999,66.52628841,66.05341156,66.52628841,66.18895404
42,1.23276176,67.60863476,67.15504066,67.60863476,67.2854305
43,1.19024266,68.78801216,68.39668822,68.78801216,68.49640992
44,1.15150203,69.76132362,69.37483199,69.76132362,69.4797894
45,1.12002519,70.20146447,69.83151059,70.20146447,69.93840225
46,1.07270623,71.51488476,71.19251779,71.51488476,71.27949928
47,1.04365662,72.24711908,71.93635577,72.24711908,72.02571671
48,1.00775865,73.11039533,72.85562129,73.11039533,72.92217762
49,0.97416581,74.01268406,73.7447485,74.01268406,73.81627552
50,0.93178162,75.04401408,74.81998686,75.04401408,74.88497353
51,0.91174044,75.3631162,75.15402056,75.3631162,75.21108615
52,0.8694411,76.38444302,76.18040667,76.38444302,76.23955618
53,0.84109745,77.32174296,77.13061781,77.32174296,77.18360015
54,0.8124005,78.00596191,77.83755073,78.00596191,77.88291616
55,0.78111062,78.76120359,78.62162756,78.76120359,78.6562895
56,0.75233613,79.44742318,79.32326285,79.44742318,79.35804221
57,0.73241087,79.88256242,79.75977807,79.88256242,79.78983521
58,0.69900138,80.91489277,80.80785872,80.91489277,80.83336693
59,0.6738014,81.56610115,81.45355884,81.56610115,81.48456139
60,0.65094252,82.11927817,82.02561945,82.11927817,82.04950659
61,0.63011625,82.67145487,82.5937412,82.67145487,82.60984944
62,0.6009675,83.52972951,83.45538429,83.52972951,83.47194187
63,0.58412639,83.88684379,83.81569047,83.88684379,83.83240462
64,0.55230388,84.88816421,84.82355029,84.88816421,84.83907961
65,0.54092473,85.08422695,85.03413478,85.08422695,85.0435245
66,0.52707022,85.3403089,85.30301321,85.3403089,85.30844042
67,0.507687,86.0865477,86.05465278,86.0865477,86.05955842
68,0.4843534,86.58970871,86.55169801,86.58970871,86.55955993
69,0.46957826,87.12387964,87.09462686,87.12387964,87.09756591
70,0.45379377,87.43397887,87.40817761,87.43397887,87.41105202
71,0.44137629,87.71606914,87.69667518,87.71606914,87.69752633
72,0.42859855,87.99515845,87.97472341,87.99515845,87.97463824
73,0.40516587,88.85443342,88.84106591,88.85443342,88.84051803
74,0.39380642,89.08550736,89.0689635,89.08550736,89.06859598
75,0.37987302,89.44262164,89.43173898,89.44262164,89.42744986
76,0.36568901,89.81474072,89.80212063,89.81474072,89.80071626
77,0.36046096,89.91077145,89.90502243,89.91077145,89.90046298
78,0.34502856,90.4059299,90.40053692,90.4059299,90.39662677
79,0.33545904,90.70902689,90.70523378,90.70902689,90.70094618
80,0.3274993,90.87007843,90.86398874,90.87007843,90.86212173
81,0.30989328,91.35423335,91.35067197,91.35423335,91.34727103
82,0.30529526,91.48027369,91.47956793,91.48027369,91.47428654
83,0.30135718,91.64232554,91.64168162,91.64232554,91.63660102
84,0.29037169,91.82338348,91.82255857,91.82338348,91.81784968
85,0.28486693,92.06646127,92.06520616,92.06646127,92.06096244
86,0.27678577,92.29253361,92.29186673,92.29253361,92.28779406
87,0.26927968,92.47059059,92.47040582,92.47059059,92.46627767
88,0.26360539,92.62964149,92.62885045,92.62964149,92.62518512
89,0.25160824,93.07878521,93.07816081,93.07878521,93.07400799
90,0.24423992,93.21482875,93.2148934,93.21482875,93.2106636
91,0.24180344,93.22683259,93.22869337,93.22683259,93.22348116
92,0.24099618,93.15580986,93.1585862,93.15580986,93.15426817
93,0.23882385,93.25484155,93.2549343,93.25484155,93.25129053
94,0.22537655,93.71298816,93.71649709,93.71298816,93.71092217
95,0.22806542,93.48691581,93.48652495,93.48691581,93.48349362
96,0.22345187,93.67097471,93.67340455,93.67097471,93.66890935
97,0.21189617,94.03309059,94.03521116,94.03309059,94.03056564
98,0.20675931,94.17513604,94.17600902,94.17513604,94.17227427
99,0.20065701,94.28417093,94.28811529,94.28417093,94.28364145
100,0.19953861,94.37119878,94.3730909,94.37119878,94.36957939
