Epoch,Total_Loss,Regression_Loss,Classification_Loss,SM_0_RMSE,SM_0_MAE,SM_0_ME,SM_20_RMSE,SM_20_MAE,SM_20_ME,Classification_Accuracy,Classification_F1
1,2.3466,0.109,2.2376,29.89963273,24.16498375,-1.37893713,31.05006058,25.06998062,-3.06056333,0.18327662,0.17389881
2,2.2748,0.0932,2.1817,30.06392014,24.31731415,0.21763241,30.28989573,24.45451355,-1.01786256,0.19980554,0.1924987
3,2.2325,0.0896,2.1429,27.45286377,22.14824677,0.18356654,29.32171343,23.41555977,0.25778526,0.22265435,0.204673
4,2.2114,0.0862,2.1252,27.79843285,22.46176338,-2.5575459,27.6299111,22.07522011,-1.70499218,0.22411279,0.21603058
5,2.1295,0.0769,2.0526,26.34698416,20.87754059,0.337874,26.72459846,21.13596535,-0.48679137,0.24210015,0.23145091
6,2.1016,0.074,2.0276,25.03253254,20.14678192,-0.02277333,25.39762884,20.47045517,-0.32430574,0.25085075,0.2417877
7,2.0787,0.0693,2.0094,24.81113228,19.40906525,-1.18635917,25.20750311,19.96331215,-1.94488192,0.26494895,0.25187385
8,2.0142,0.0615,1.9527,23.96289755,18.81087112,-1.06113553,24.20080863,18.77604294,-0.69359499,0.26835197,0.25767557
9,2.0533,0.0647,1.9885,24.47621339,19.35149384,0.63462466,25.09639983,19.93535995,0.22846477,0.23918328,0.22601258
10,1.9851,0.0577,1.9274,23.1512744,18.43850327,0.62578589,22.27056963,17.56061554,0.15512276,0.27856101,0.26680675
11,1.9477,0.0531,1.8946,22.17903943,17.37266731,-0.17237777,21.42429098,16.82192612,0.4436605,0.28342246,0.27498404
12,1.928,0.0532,1.8748,21.67711485,16.86345863,-0.43082431,21.7435237,16.94607925,-1.31617641,0.30481283,0.29077117
13,1.9271,0.0539,1.8732,21.76554999,17.1543808,0.79148805,22.09972943,17.44204712,1.53152394,0.29265921,0.26617827
14,1.9266,0.0514,1.8752,21.45119099,16.89920044,-0.20290215,21.47528146,16.82463837,-1.1376965,0.29606223,0.28190835
15,1.9099,0.0495,1.8603,20.83722856,16.5280056,-0.97330809,20.59033323,16.10167885,-0.38666815,0.31502188,0.30120444
16,1.8836,0.0486,1.835,20.92148991,16.70541191,-0.62945706,20.73975239,16.47337151,-0.66663516,0.31648031,0.30080153
17,1.8965,0.048,1.8485,20.70001746,16.36563301,0.56345719,20.79294196,16.43095207,-0.01135629,0.30529898,0.29915556
18,1.9033,0.0482,1.855,21.37931557,17.05615807,-3.54855037,20.97430228,16.69361687,-2.44098711,0.30238211,0.29670496
19,1.8476,0.0447,1.8029,19.80712356,15.46774387,0.57827121,20.19229759,15.90893841,-0.57753044,0.33252309,0.32228288
20,1.8559,0.0441,1.8118,19.82580774,15.60725307,-0.46830252,19.60127525,15.28880787,1.77748215,0.32328634,0.31990398
21,1.8544,0.0441,1.8103,20.40389071,15.82189941,-0.4475958,19.68306234,15.57017136,0.24478845,0.32134176,0.30917415
22,1.8372,0.0451,1.792,19.15432784,14.94376564,2.55432773,19.08876824,14.9459734,2.38171268,0.33932912,0.32431986
23,1.7943,0.0425,1.7518,19.34355516,15.08940029,0.87866455,19.27763543,14.84569359,-0.53328902,0.3412737,0.3225631
24,1.7852,0.041,1.7442,19.35123448,14.945261,0.53175169,19.08859878,14.83728695,0.03233996,0.35585805,0.3478642
25,1.7728,0.0397,1.7331,19.25310858,15.07012081,1.6189847,19.33850204,15.15701485,2.01225638,0.35926106,0.35413248
26,1.7655,0.0402,1.7253,18.69166952,14.2049427,-2.19217539,18.90505872,14.63861752,-1.41998458,0.36752552,0.35763457
27,1.7643,0.0406,1.7237,19.11680996,14.97199154,-0.54201585,18.88642103,14.85372066,-0.9327718,0.36363636,0.35964074
28,1.745,0.0386,1.7064,18.47611076,14.63156796,0.27708527,18.1761116,14.22638321,2.440382,0.37092854,0.36560784
29,1.7197,0.0393,1.6804,18.36046124,14.2290802,-1.64756656,17.52509797,13.43985271,-0.67984593,0.36315022,0.35439058
