Epoch,Total_Loss,Regression_Loss,Classification_Loss,SM_0_RMSE,SM_0_MAE,SM_0_ME,SM_20_RMSE,SM_20_MAE,SM_20_ME,Classification_Accuracy,Classification_F1
1,2.5377,0.1865,2.3512,32.9360064,26.98085403,-2.79110479,33.87452072,27.19485092,-1.83146489,0.14000972,0.10965966
2,2.3701,0.1028,2.2672,31.68358291,25.7971096,-4.40286827,31.84438538,25.98763275,-4.78266621,0.16917842,0.15589867
3,2.3226,0.0999,2.2227,30.3847972,24.69714737,-4.68119669,30.99257546,24.93853188,-5.13297987,0.19202722,0.18434711
4,2.262,0.0943,2.1677,28.68886375,23.29144096,-1.68645179,28.90098664,23.31307793,-2.84780574,0.21195916,0.20116907
5,2.1932,0.0824,2.1109,27.47853721,22.25699997,-2.32794619,27.76210212,22.31110191,-2.21897602,0.21001458,0.20586161
6,2.1792,0.0783,2.1009,26.53166064,21.21657944,0.12098503,26.64079797,21.37938309,-0.90788692,0.2275158,0.21841933
7,2.1434,0.0763,2.0671,25.11165131,20.10318565,1.47665656,24.98814905,20.09903336,0.37121251,0.22508508,0.21218725
8,2.0881,0.0707,2.0174,25.08215748,20.17288208,0.08957274,25.08439612,20.08988762,-0.47701988,0.26251823,0.26121244
9,2.0872,0.0684,2.0187,24.25164349,19.35506058,-0.98330396,24.21593482,19.54229927,0.3673498,0.26154594,0.25504698
10,2.0455,0.0661,1.9795,24.04173719,19.35123253,-2.84170866,24.36496062,19.61985397,-2.95418501,0.28488089,0.27922616
11,2.0314,0.0641,1.9673,24.4413947,19.73544884,-1.22570574,24.56761586,19.65434265,-1.63472712,0.28147788,0.27713463
12,2.0029,0.0597,1.9432,23.19811999,18.73756981,-2.34869742,23.19249415,18.59901428,-1.92936683,0.27710258,0.2729376
13,2.0009,0.0595,1.9414,22.58005236,18.11402321,0.69836593,23.42448206,18.69749641,-1.69125569,0.28585318,0.28094416
14,1.9472,0.0549,1.8922,22.42546043,17.65383911,-0.8039763,23.2219292,18.32430077,-1.94263637,0.29557608,0.28595603
15,1.9754,0.0561,1.9193,21.40557139,17.03015518,-0.44544631,22.00725644,17.5640049,-1.62013423,0.30140982,0.29962943
16,1.9385,0.0549,1.8836,21.68495783,17.25043488,-1.78646708,21.40336859,17.01590919,-1.94601321,0.31453573,0.30752909
17,1.9481,0.0548,1.8933,21.62487652,17.22463036,-3.26330686,22.1097953,17.87115288,-1.82882786,0.31550802,0.30421382
18,1.9124,0.0517,1.8607,21.30459726,17.09877014,-1.8766737,21.59565499,17.50917625,-2.93457842,0.31550802,0.31058008
19,1.887,0.0501,1.8369,20.4200787,16.19075584,0.25853482,20.84351501,16.61073494,0.10694406,0.32620321,0.32008583
20,1.909,0.0518,1.8572,20.10825727,16.10502243,-1.5464071,20.48124172,16.35421753,-1.132447,0.32668935,0.32101483
21,1.8684,0.0463,1.8221,20.23550688,16.13806534,-2.03420329,20.62566879,16.32912064,0.54034895,0.32036947,0.31160729
22,1.8478,0.0459,1.8019,20.19352174,16.0975647,-2.43371272,20.79171567,16.56832695,-2.58559179,0.32134176,0.30128082
23,1.8745,0.0455,1.829,19.38701902,15.43324089,-1.67814505,20.00642978,15.78260612,-1.75726676,0.34224599,0.32813809
24,1.8593,0.0455,1.8138,19.7971255,15.44414902,-2.346277,19.55300507,15.41004658,-2.07935667,0.33787069,0.32345329
25,1.8353,0.0443,1.7911,19.21029651,15.1588726,-1.90527368,19.42929012,15.25980473,-0.6253745,0.36752552,0.35047608
26,1.8762,0.0491,1.8271,19.22882263,15.25843525,-0.9723863,20.03359757,15.82514381,-0.89692956,0.33543996,0.32909891
27,1.8222,0.0432,1.779,18.88006968,14.96992588,-0.57384545,19.99907224,15.92295742,-2.44136882,0.37676228,0.36536108
28,1.8273,0.0444,1.7829,18.90769138,15.05624485,-3.0873394,19.40625865,15.31185246,-2.16236711,0.36752552,0.36037392
29,1.7934,0.041,1.7525,18.65035861,14.68497658,-0.9557597,18.77515809,14.95595646,-1.40559042,0.36120564,0.36120117
30,1.7399,0.0408,1.6991,18.08621423,14.1820097,-1.24424171,18.78114194,14.84981537,-1.51815343,0.36849781,0.36512009
31,1.749,0.0377,1.7113,18.42289212,14.5079298,-3.57529545,18.86869009,14.72713852,-1.93968368,0.36703938,0.36008627
32,1.7635,0.0397,1.7239,18.29544388,14.56974125,-1.64982152,18.58887722,14.7081461,-0.91342407,0.37724842,0.36327057
33,1.765,0.0397,1.7253,18.4891276,14.62481976,-1.9164232,19.09364531,15.08194733,-1.45035458,0.36655323,0.36366047
34,1.7716,0.0405,1.731,18.70301568,14.79813576,-4.31880474,18.61298654,14.55318356,-2.30449486,0.38405445,0.37575855
35,1.7192,0.036,1.6831,17.44368817,13.76701736,-1.66274738,17.78064243,13.88530922,-0.51569432,0.39377735,0.38729356
36,1.7107,0.0379,1.6728,17.88603841,13.98737907,0.1180372,17.53397059,13.57406616,-0.32130602,0.42489062,0.42074304
37,1.7338,0.0354,1.6985,19.04731721,15.11192036,-2.9944303,19.18419229,15.16819382,-3.90402603,0.37724842,0.36973617
38,1.7151,0.0385,1.6767,17.20227348,13.31189632,-0.24457917,17.68719719,13.74056339,-0.40543053,0.41176471,0.4017215
39,1.7094,0.0382,1.6712,17.21962374,13.2175703,1.01608121,17.11584049,13.26395893,-0.18510547,0.41662615,0.40721572
40,1.6839,0.0371,1.6468,17.3134686,13.47793007,0.33004922,17.71533601,13.63804531,0.71197516,0.41759844,0.41325398
41,1.656,0.0345,1.6215,17.06820103,13.16147614,-1.5974797,16.7883863,12.93949604,-0.81078577,0.43072436,0.42976067
42,1.6977,0.0371,1.6607,17.0011704,13.06146908,-2.84460688,17.52071702,13.53283215,-2.87186813,0.42391833,0.41786476
43,1.6589,0.0349,1.624,16.35521639,12.68926716,0.70327801,16.8049036,13.15895271,-1.44246805,0.42926592,0.42764484
44,1.6728,0.0354,1.6375,16.517869,12.68913555,-1.0881449,16.73871563,12.99777222,-1.70455515,0.4453087,0.43920373
45,1.6141,0.0335,1.5806,16.48483134,12.70350266,1.97516716,16.62528177,12.76027679,1.22764182,0.43655809,0.43492136
46,1.5786,0.0309,1.5477,16.28300247,12.66107273,0.02043283,16.56752209,13.00899792,-0.64158338,0.45017015,0.44886618
47,1.6055,0.0321,1.5734,16.14485685,12.29838276,-0.19696884,16.24325187,12.51218224,-0.52269459,0.45454545,0.44553199
48,1.5681,0.0311,1.537,16.24646991,12.56065083,-1.36259925,16.28842456,12.50611687,-1.8771112,0.48128342,0.47559526
49,1.5786,0.0299,1.5486,16.4355449,12.87137699,-4.02912092,16.28274008,12.69257355,-2.82488346,0.46037919,0.45219048
50,1.5515,0.0307,1.5209,15.34552253,11.85655689,-1.65056276,15.32137319,11.77335548,-1.91790283,0.5026738,0.49525353
51,1.5346,0.0317,1.5029,16.14072994,12.61747074,0.0466271,15.81111278,12.27518845,1.0775522,0.48517258,0.47511561
52,1.5222,0.0297,1.4925,14.89287513,11.45643234,-0.6120463,15.01087964,11.66400719,0.41934896,0.49684006,0.48586634
53,1.5174,0.0282,1.4892,15.97334501,12.64643955,-2.11854959,15.56150233,12.25255203,-2.46543193,0.48420029,0.48100285
54,1.5094,0.0302,1.4792,16.13083845,12.75702953,-2.18024135,16.76852258,13.32918072,-3.25294495,0.50510452,0.49891893
55,1.5029,0.0287,1.4743,14.65883121,11.33320522,-0.74176919,14.86695401,11.56392288,-1.60755134,0.50656296,0.50235755
56,1.4889,0.0283,1.4606,14.32579576,11.08103085,-0.28112087,14.80335375,11.47974396,0.25582168,0.52698104,0.51998663
57,1.5049,0.0297,1.4752,14.60483197,11.1933012,-0.64280999,14.88402226,11.33055782,-0.37400699,0.53232863,0.52849528
58,1.434,0.0281,1.4059,14.25769157,11.00335217,0.04635045,14.41559687,11.16314507,0.45071867,0.53281478,0.53055334
59,1.4446,0.0278,1.4168,14.40629554,11.04047585,0.71027273,14.53198503,11.25239468,-0.88083708,0.55371901,0.55101268
60,1.4267,0.0256,1.4011,14.50559469,11.30777359,-0.95932913,14.6990293,11.52959824,-1.82367134,0.54448226,0.54285406
61,1.4061,0.0281,1.378,13.71201029,10.65731144,0.3655546,13.77216896,10.71167278,0.87669706,0.55177443,0.54240523
62,1.4304,0.0269,1.4035,14.35565848,11.17776394,0.26141715,14.21910199,11.05592728,-0.19281597,0.54594069,0.54516672
63,1.43,0.028,1.402,14.18074796,11.13749504,-1.18518043,14.05283251,11.1817255,-1.5058254,0.55858046,0.55290951
64,1.4044,0.0264,1.378,13.28368372,10.31644249,-0.31573686,13.42798366,10.39783287,-0.47131637,0.57462324,0.56615365
65,1.3704,0.0254,1.345,14.23228076,11.13042545,-2.48270154,14.19430634,11.09272575,-1.44008505,0.5731648,0.56768838
