Epoch,Total_Loss,Regression_Loss,Classification_Loss,SM_0_RMSE,SM_0_MAE,SM_0_ME,SM_20_RMSE,SM_20_MAE,SM_20_ME,Classification_Accuracy,Classification_F1
1,2.1842,0.101,2.0831,21.43277112,16.73968124,1.76603901,20.95303688,16.35058975,2.14540148,0.379193,0.35698667
2,1.7469,0.0513,1.6955,18.91402539,14.78189754,-0.61254662,19.02286238,14.8341465,-2.586725,0.46524064,0.45511686
3,1.5731,0.0421,1.531,16.704445,13.14348888,0.01534094,16.6772713,13.13297653,-0.83871967,0.53184249,0.52330905
4,1.4184,0.0362,1.3822,16.41142404,12.96122646,2.39393997,16.23750459,12.66332245,0.93819743,0.57705396,0.57771895
5,1.2823,0.0313,1.2509,13.80116325,10.75389576,-0.406712,14.68839862,11.38914394,1.88379741,0.6490034,0.64523522
6,1.1777,0.0282,1.1495,14.63585606,11.7226944,-3.9017694,14.44425879,11.42311859,-2.59290028,0.69178415,0.69205233
7,1.0939,0.0257,1.0682,13.74172836,10.75266171,0.3526434,13.87621625,10.95616245,1.67808056,0.71122995,0.70930442
8,0.9865,0.0232,0.9633,11.77608371,9.1795435,0.2969631,12.24211458,9.57185364,0.15449719,0.74720467,0.74537805
9,1.0089,0.0233,0.9856,13.12437336,10.19071293,-1.09515488,12.61333448,9.83759499,-2.8688519,0.77929023,0.77879634
10,0.9603,0.0231,0.9372,15.34104532,11.25125122,-1.26242208,15.24452336,11.55060673,-0.48827004,0.7963053,0.79650061
11,0.8586,0.0238,0.8349,12.33521511,9.5749979,0.91643816,12.61460161,9.65679932,2.2258091,0.80943121,0.80875055
12,0.8017,0.0188,0.7829,11.89238935,9.44127274,0.0662655,11.516367,8.96660423,0.5530051,0.82352941,0.82265465
13,0.8132,0.0184,0.7948,11.42134396,8.90246677,-0.02561425,12.22442261,9.5342083,-0.03555406,0.84200292,0.84274294
14,0.7731,0.0203,0.7528,11.30957466,8.85359859,-0.91991371,11.85178202,9.33406162,-0.05929177,0.85512883,0.85609355
15,0.766,0.02,0.746,10.45722058,8.25575924,1.04073882,10.95219437,8.66580677,0.94235778,0.85658726,0.85628495
16,0.6855,0.0164,0.6691,11.57629759,9.15440464,-2.10891962,10.96731949,8.65159893,-1.23727775,0.85999028,0.85972744
17,0.7136,0.0172,0.6963,11.04109215,8.70333862,-0.10866376,10.18782427,7.88319683,-0.92652816,0.87749149,0.87744144
18,0.7043,0.0161,0.6882,10.34584269,8.1523571,0.88979429,10.75421237,8.35268879,0.80496204,0.87894993,0.87825699
19,0.6771,0.016,0.6611,10.89487229,8.276968,-2.20243335,10.11830351,8.05430698,-1.54811072,0.89693729,0.89739972
20,0.6066,0.0154,0.5911,9.70278964,7.54585314,-1.63134861,9.84138543,7.61256409,0.53146505,0.87311619,0.87141794
