Model,Epoch,Total_Loss,Regression_Loss,Classification_Loss,SM_0_RMSE,SM_0_MAE,SM_0_ME,SM_20_RMSE,SM_20_MAE,SM_20_ME,Classification_Accuracy,Classification_F1,Time_s
mobilevitv2_050,1,2.41391463,0.1600127,2.25390194,18.08279029,14.08889294,-5.1465292,17.84828762,14.07322216,-4.59580469,0.30870199,0.22681272,375.7
mobilevitv2_050,2,2.02610512,0.0312255,1.99487962,13.70186053,10.54259682,0.53200084,13.50684325,10.49155807,0.66957474,0.34078755,0.27363234,367.1
mobilevitv2_050,3,1.70122939,0.02163452,1.67959487,11.63325585,9.02281475,1.53835011,11.6912803,9.18520451,1.68241751,0.50024307,0.47014631,366.6
mobilevitv2_050,4,1.46371769,0.01832479,1.44539289,10.33241005,7.98551607,2.2417326,10.37374466,8.11093807,2.2277081,0.59406903,0.58692353,365.9
mobilevitv2_050,5,1.31672903,0.01643001,1.30029902,10.20170866,7.92310667,2.63237214,10.29967094,8.13593197,2.98621416,0.63587749,0.63007782,369.4
mobilevitv2_050,6,1.22155188,0.01543445,1.20611743,9.99739422,7.84746647,3.76178002,9.99902682,7.95400047,3.9057951,0.65192027,0.65272422,368.8
mobilevitv2_050,7,1.08830798,0.012185,1.07612298,9.50582868,7.4659934,3.66255617,9.53703158,7.5345602,3.56241274,0.69324259,0.69099338,368.2
mobilevitv2_050,8,1.05757038,0.01280686,1.04476352,9.28054714,7.25700569,3.79297447,9.20084206,7.24634027,3.85756993,0.68935343,0.68949938,400.1
mobilevitv2_050,9,0.99511036,0.01217634,0.98293402,8.97529857,7.04663277,2.92334723,9.1406154,7.18794441,3.13172197,0.71220224,0.71225778,369.4
mobilevitv2_050,10,0.93682745,0.01017769,0.92664976,8.20948925,6.4548173,2.30038619,8.17698169,6.40634298,2.50431514,0.75546913,0.754661,367.8
mobilevitv2_050,11,0.8952816,0.01024654,0.88503507,7.63556227,5.92415714,1.82896245,7.71841986,5.98591709,2.21937799,0.77929023,0.77653417,369.9
mobilevitv2_050,12,0.85840835,0.00946513,0.84894323,7.11082896,5.5139389,-0.21345817,7.1711335,5.53914928,-0.15060513,0.79144385,0.78928784,367.6
mobilevitv2_050,13,0.84305363,0.00918392,0.83386971,7.67019517,6.02055693,2.29222083,8.01184969,6.31147099,2.34733176,0.79970831,0.79867741,410.7
mobilevitv2_050,14,0.80976526,0.00883895,0.80092632,7.32748078,5.7492075,1.96200836,7.31717682,5.74577761,1.64572883,0.78317939,0.78380237,375.5
mobilevitv2_050,15,0.80885586,0.00959649,0.79925938,7.03787746,5.4057126,0.02614184,7.01337735,5.36273146,-0.01242688,0.80894507,0.80889957,373.7
mobilevitv2_050,16,0.74888492,0.0083997,0.74048522,7.41740074,5.68162918,2.32877922,7.50660796,5.80909204,2.3627789,0.80505591,0.80367911,378.5
